month,borough,day_type,trip_type,route_id,period,number_of_trips_passing_wait,number_of_scheduled_trips,wait_assessment,year,day,quarters,Time Period,Fare Evasion
01,Manhattan,1,Local,M7,Peak,"6,928","10,305",67.2295%,2019,01,Q1,2019-Q1,25%
01,Manhattan,2,Local,M7,Off-Peak,"7,677","10,238",74.98535%,2019,01,Q1,2019-Q1,25%
01,Manhattan,2,Local,M7,Peak,"3,006","4,065",73.94834%,2019,01,Q1,2019-Q1,25%
01,Manhattan,1,Local,M72,Off-Peak,"7,493","8,603",87.097526%,2019,01,Q1,2019-Q1,25%
01,Manhattan,1,Local,M72,Peak,"3,506","4,520",77.566373%,2019,01,Q1,2019-Q1,25%
01,Manhattan,2,Local,M72,Off-Peak,"2,681","3,086",86.876214%,2019,01,Q1,2019-Q1,25%
01,Manhattan,2,Local,M72,Peak,"1,072","1,222",87.725043%,2019,01,Q1,2019-Q1,25%
01,Manhattan,1,Local,M8,Off-Peak,"4,352","4,973",87.51257%,2019,01,Q1,2019-Q1,25%
01,Manhattan,1,Local,M8,Peak,"2,238","2,947",75.941634%,2019,01,Q1,2019-Q1,25%
01,Manhattan,2,Local,M8,Off-Peak,"1,469","1,878",78.22151%,2019,01,Q1,2019-Q1,25%
01,Manhattan,2,Local,M8,Peak,577,718,80.36212%,2019,01,Q1,2019-Q1,25%
01,Manhattan,1,Local,M9,Off-Peak,"7,585","10,329",73.43402%,2019,01,Q1,2019-Q1,25%
01,Manhattan,1,Local,M9,Peak,"3,587","5,588",64.19112%,2019,01,Q1,2019-Q1,25%
01,Manhattan,2,Local,M9,Off-Peak,"2,765","3,600",76.805556%,2019,01,Q1,2019-Q1,25%
01,Manhattan,2,Local,M9,Peak,996,"1,367",72.860277%,2019,01,Q1,2019-Q1,25%
01,Manhattan,1,Local,M96,Off-Peak,"16,224","18,698",86.76864%,2019,01,Q1,2019-Q1,25%
01,Manhattan,1,Local,M96,Peak,"7,564","10,163",74.42684%,2019,01,Q1,2019-Q1,25%
01,Manhattan,2,Local,M96,Off-Peak,"5,078","5,826",87.161005%,2019,01,Q1,2019-Q1,25%
01,Manhattan,2,Local,M96,Peak,"1,853","2,206",83.998185%,2019,01,Q1,2019-Q1,25%
01,Manhattan,1,Local,M98,Off-Peak,258,302,85.43046%,2019,01,Q1,2019-Q1,25%
01,Manhattan,1,Local,M98,Peak,487,637,76.45212%,2019,01,Q1,2019-Q1,25%
01,Manhattan,2,Local,M98,Off-Peak,12,14,85.714287%,2019,01,Q1,2019-Q1,25%
01,Manhattan,2,Local,M98,Peak,16,29,55.172414%,2019,01,Q1,2019-Q1,25%
01,Queens,1,Local,Q1,Off-Peak,"10,239","11,923",85.876036%,2019,01,Q1,2019-Q1,25%
01,Queens,1,Local,Q1,Peak,"3,974","5,358",74.16947%,2019,01,Q1,2019-Q1,25%
01,Queens,2,Local,Q1,Off-Peak,"3,981","4,849",82.0994%,2019,01,Q1,2019-Q1,25%
01,Queens,2,Local,Q1,Peak,"1,428","1,706",83.70457%,2019,01,Q1,2019-Q1,25%
01,Queens,1,Local,Q10,Off-Peak,"16,891","20,695",81.61875%,2019,01,Q1,2019-Q1,25%
01,Queens,1,Local,Q10,Peak,"6,103","9,565",63.80554%,2019,01,Q1,2019-Q1,25%
01,Queens,2,Local,Q10,Off-Peak,"7,228","8,260",87.506056%,2019,01,Q1,2019-Q1,25%
01,Queens,2,Local,Q10,Peak,"2,766","3,246",85.21257%,2019,01,Q1,2019-Q1,25%
01,Queens,1,Local,Q100,Off-Peak,"3,728","4,412",84.496826%,2019,01,Q1,2019-Q1,25%
01,Queens,1,Local,Q100,Peak,"1,322","1,815",72.837466%,2019,01,Q1,2019-Q1,25%
01,Queens,2,Local,Q100,Off-Peak,"1,853","2,188",84.68921%,2019,01,Q1,2019-Q1,25%
01,Queens,2,Local,Q100,Peak,678,771,87.93774%,2019,01,Q1,2019-Q1,25%
01,Queens,1,Local,Q101,Off-Peak,"3,461","4,296",80.56331%,2019,01,Q1,2019-Q1,25%
01,Queens,1,Local,Q101,Peak,"1,313","2,091",62.79292%,2019,01,Q1,2019-Q1,25%
01,Queens,2,Local,Q101,Off-Peak,"1,406","1,614",87.11276%,2019,01,Q1,2019-Q1,25%
01,Queens,2,Local,Q101,Peak,456,552,82.608694%,2019,01,Q1,2019-Q1,25%
01,Queens,1,Local,Q102,Off-Peak,"2,359","2,917",80.87076%,2019,01,Q1,2019-Q1,25%
01,Queens,1,Local,Q102,Peak,857,"1,423",60.22488%,2019,01,Q1,2019-Q1,25%
01,Queens,2,Local,Q102,Off-Peak,"1,043","1,309",79.679143%,2019,01,Q1,2019-Q1,25%
01,Queens,2,Local,Q102,Peak,346,467,74.08994%,2019,01,Q1,2019-Q1,25%
01,Queens,1,Local,Q103,Off-Peak,755,859,87.892896%,2019,01,Q1,2019-Q1,25%
01,Queens,1,Local,Q103,Peak,460,608,75.65789%,2019,01,Q1,2019-Q1,25%
01,Queens,2,Local,Q103,Off-Peak,274,296,92.56757%,2019,01,Q1,2019-Q1,25%
01,Queens,2,Local,Q103,Peak,159,174,91.37931%,2019,01,Q1,2019-Q1,25%
01,Queens,1,Local,Q104,Off-Peak,808,932,86.69528%,2019,01,Q1,2019-Q1,25%
01,Queens,1,Local,Q104,Peak,395,510,77.45098%,2019,01,Q1,2019-Q1,25%
01,Queens,2,Local,Q104,Off-Peak,318,345,92.17391%,2019,01,Q1,2019-Q1,25%
01,Queens,2,Local,Q104,Peak,137,157,87.261146%,2019,01,Q1,2019-Q1,25%
01,Queens,1,Local,Q11,Off-Peak,"4,361","5,937",73.454607%,2019,01,Q1,2019-Q1,25%
01,Queens,1,Local,Q11,Peak,"2,345","3,781",62.02063%,2019,01,Q1,2019-Q1,25%
01,Queens,2,Local,Q11,Off-Peak,"1,657","2,280",72.675437%,2019,01,Q1,2019-Q1,25%
01,Queens,2,Local,Q11,Peak,664,866,76.674366%,2019,01,Q1,2019-Q1,25%
01,Queens,1,Local,Q110,Off-Peak,"8,869","11,572",76.641893%,2019,01,Q1,2019-Q1,25%
